1995-07-01;HEAD;200;46
1995-07-01;GET;404;316
1995-07-01;GET;302;2568
1995-07-01;GET;200;57986
1995-07-01;GET;304;3797
1995-07-02;GET;304;3107
1995-07-02;GET;404;291
1995-07-02;GET;302;2370
1995-07-02;GET;200;54435
1995-07-02;HEAD;200;57
1995-07-03;GET;404;470
1995-07-03;GET;304;4582
1995-07-03;GET;200;81196
1995-07-03;GET;500;53
1995-07-03;POST;200;19
1995-07-03;HEAD;200;136
1995-07-03;GET;302;3122
1995-07-04;GET;302;2513
1995-07-04;GET;404;359
1995-07-04;HEAD;200;52
1995-07-04;GET;200;63016
1995-07-04;GET;304;4507
1995-07-05;HEAD;200;202
1995-07-05;GET;302;3346
1995-07-05;GET;404;497
1995-07-05;GET;304;5646
1995-07-05;GET;200;84876
1995-07-06;GET;304;5475
1995-07-06;GET;404;639
1995-07-06;GET;302;3197
1995-07-06;HEAD;200;228
1995-07-06;GET;200;91408
1995-07-07;GET;404;569
1995-07-07;HEAD;200;175
1995-07-07;GET;200;78848
1995-07-07;GET;304;5222
1995-07-07;GET;302;2412
1995-07-08;GET;200;35616
1995-07-08;GET;302;702
1995-07-08;GET;304;2200
1995-07-08;GET;404;302
1995-07-08;HEAD;200;45
1995-07-09;GET;200;32054
1995-07-09;GET;302;562
1995-07-09;GET;304;2261
1995-07-09;HEAD;200;43
1995-07-09;GET;404;348
1995-07-10;GET;302;1472
1995-07-10;GET;404;398
1995-07-10;HEAD;200;217
1995-07-10;GET;304;5018
1995-07-10;GET;200;65753
1995-07-11;HEAD;200;141
1995-07-11;GET;302;1668
1995-07-11;GET;404;470
1995-07-11;GET;304;6262
1995-07-11;GET;200;71864
1995-07-12;GET;302;2338
1995-07-12;HEAD;200;255
1995-07-12;GET;404;470
1995-07-12;GET;304;8847
1995-07-12;GET;200;80620
1995-07-13;GET;404;529
1995-07-13;GET;200;114129
1995-07-13;GET;302;4436
1995-07-13;GET;304;14803
1995-07-13;HEAD;200;300
1995-07-14;GET;302;2164
1995-07-14;GET;200;74959
1995-07-14;GET;404;409
1995-07-14;HEAD;200;386
1995-07-14;GET;304;6177
1995-07-15;GET;302;1208
1995-07-15;GET;200;41110
1995-07-15;HEAD;200;58
1995-07-15;GET;404;254
1995-07-15;GET;304;2902
1995-07-16;GET;304;2729
1995-07-16;GET;302;1130
1995-07-16;HEAD;200;71
1995-07-16;GET;404;256
1995-07-16;GET;200;43665
1995-07-17;GET;302;1543
1995-07-17;HEAD;200;160
1995-07-17;GET;404;406
1995-07-17;GET;304;5285
1995-07-17;GET;200;67583
1995-07-18;GET;404;465
1995-07-18;GET;302;1076
1995-07-18;GET;200;57887
1995-07-18;HEAD;200;153
1995-07-18;GET;304;4677
1995-07-19;GET;200;65397
1995-07-19;GET;404;638
1995-07-19;HEAD;200;69
1995-07-19;GET;302;1294
1995-07-19;GET;304;5335
1995-07-20;GET;304;4855
1995-07-20;GET;200;59973
1995-07-20;GET;302;1151
1995-07-20;HEAD;200;181
1995-07-20;GET;404;427
1995-07-21;GET;302;1286
1995-07-21;HEAD;200;99
1995-07-21;GET;404;332
1995-07-21;GET;200;58235
1995-07-21;GET;304;4669
1995-07-22;HEAD;200;50
1995-07-22;GET;404;192
1995-07-22;GET;304;2449
1995-07-22;GET;302;721
1995-07-22;GET;200;31849
1995-07-23;GET;200;36060
1995-07-23;GET;302;625
1995-07-23;GET;304;2216
1995-07-23;HEAD;200;61
1995-07-23;GET;404;233
1995-07-24;GET;200;58013
1995-07-24;GET;404;328
1995-07-24;HEAD;200;244
1995-07-24;GET;302;882
1995-07-24;GET;304;4783
1995-07-25;GET;404;460
1995-07-25;GET;200;56915
1995-07-25;GET;302;855
1995-07-25;GET;304;4274
1995-07-25;HEAD;200;183
1995-07-26;GET;404;336
1995-07-26;HEAD;200;150
1995-07-26;GET;304;4258
1995-07-26;GET;200;53326
1995-07-26;GET;302;766
1995-07-27;GET;200;55998
1995-07-27;GET;304;4420
1995-07-27;GET;302;812
1995-07-27;GET;404;336
1995-07-27;HEAD;200;100
1995-07-28;GET;304;1871
1995-07-28;HEAD;200;79
1995-07-28;GET;302;347
1995-07-28;GET;404;94
1995-07-28;GET;200;24730
